	TCGA-DK-A1A3-01A-11R-A13Y-07	TCGA-BT-A0YX-01A-11R-A10U-07	TCGA-GD-A3OQ-01A-32R-A220-07	TCGA-CU-A0YR-01A-12R-A10U-07	TCGA-E5-A2PC-01A-11R-A206-07	TCGA-G2-A2EK-01A-22R-A18C-07	TCGA-DK-A1A7-01A-11R-A13Y-07	TCGA-G2-A2EJ-01A-11R-A180-07	TCGA-GC-A3I6-01A-11R-A20F-07	TCGA-DK-A3IU-01A-11R-A20F-07	TCGA-BT-A20T-01A-11R-A14Y-07	TCGA-DK-A3IV-01A-22R-A21D-07	TCGA-G2-A2ES-01A-11R-A180-07	TCGA-DK-A3IL-01A-11R-A20F-07	TCGA-GC-A3RB-01A-12R-A220-07	TCGA-FD-A3B6-01A-21R-A20F-07	TCGA-H4-A2HO-01A-11R-A180-07	TCGA-DK-A3IN-01A-11R-A20F-07	TCGA-G2-A2EC-01A-11R-A180-07	TCGA-CU-A0YN-01A-21R-A10U-07	TCGA-DK-A1AC-01A-11R-A13Y-07	TCGA-BL-A3JM-01A-12R-A21D-07	TCGA-DK-A2HX-01A-12R-A18C-07	TCGA-DK-A2I4-01A-11R-A21D-07	TCGA-FD-A3N5-01A-11R-A21D-07	TCGA-BT-A3PH-01A-11R-A220-07	TCGA-FD-A3NA-01A-11R-A21D-07	TCGA-G2-A2EF-01A-12R-A18C-07	TCGA-BT-A3PJ-01A-21R-A220-07	TCGA-BT-A20V-01A-11R-A14Y-07	TCGA-BT-A20P-01A-11R-A14Y-07	TCGA-GV-A3QG-01A-11R-A220-07	TCGA-CF-A1HS-01A-11R-A13Y-07	TCGA-G2-A2EO-01A-11R-A180-07	TCGA-CF-A3MH-01A-11R-A20F-07	TCGA-GD-A3OP-01A-21R-A220-07	TCGA-DK-A2I2-01A-11R-A180-07	TCGA-DK-A2I6-01A-12R-A18C-07	TCGA-DK-A1AD-01A-11R-A13Y-07	TCGA-FD-A3B4-01A-12R-A206-07	TCGA-GV-A3JV-01A-11R-A220-07	TCGA-FD-A3B7-01A-31R-A20F-07	TCGA-CU-A3KJ-01A-11R-A21D-07	TCGA-GV-A3QI-01A-11R-A220-07	TCGA-BL-A13J-01A-11R-A10U-07	TCGA-BT-A20W-01A-21R-A14Y-07	TCGA-CF-A3MI-01A-11R-A20F-07	TCGA-C4-A0F6-01A-11R-A10U-07	TCGA-HQ-A2OE-01A-11R-A206-07	TCGA-FT-A3EE-01A-11R-A206-07	TCGA-BT-A20O-01A-21R-A14Y-07	TCGA-CU-A0YO-01A-11R-A10U-07	TCGA-GV-A3JZ-01A-11R-A21D-07	TCGA-FD-A3B8-01A-31R-A20F-07	TCGA-BT-A2LB-01A-11R-A18C-07	TCGA-G2-A3IE-01A-11R-A20F-07	TCGA-BL-A13I-01A-11R-A13Y-07	TCGA-BT-A0S7-01A-11R-A10U-07	TCGA-DK-A1A5-01A-11R-A13Y-07	TCGA-G2-A3IB-01A-11R-A20F-07	TCGA-FD-A3B3-01A-12R-A206-07	TCGA-DK-A1AE-01A-11R-A13Y-07	TCGA-CF-A27C-01A-11R-A16R-07	TCGA-DK-A1AB-01A-11R-A13Y-07	TCGA-BT-A20X-01A-11R-A16R-07	TCGA-CF-A3MF-01A-12R-A21D-07	TCGA-DK-A3IK-01A-32R-A21D-07	TCGA-GD-A2C5-01A-12R-A180-07	TCGA-DK-A1AA-01A-11R-A13Y-07	TCGA-DK-A1A6-01A-11R-A13Y-07
ABL1	-0.403749561	-0.11153193	0.225210263	-0.213864818	-0.308908692	-0.706307914	0.358809276	-0.027788977	0.108759944	0.38525402	-0.487372786	0.352217373	-0.624391208	0.455125288	0.746821935	-0.049800458	-0.465259874	0.581551049	-0.158458434	0.254617927	0.054744524	0.241673433	0.607189733	0.161732335	0.105465326	-0.489073266	-0.115662811	0.818383853	-0.136107565	-0.13241721	-0.773656468	0.294342586	0.516455807	-1.050774773	-1.226039852	0.276450077	-0.485022559	0.078638675	0.001880822	0.833606253	-0.397735426	0.064860381	-0.30581931	0.634113004	-0.450993714	0.319179935	-0.313273482	-0.240845223	-0.312428911	-0.541543695	0.383803208	0.400896216	0.562717261	1.271573752	-0.184188835	-0.071067819	0.504661326	-0.104413315	-0.272045138	-0.498601326	0.720742541	0.297227668	-1.250400069	0.428267448	-0.007246506	-0.854010184	0.028451764	-0.500514321	-0.950440855	-0.6380608
ABL2	-0.855163037	-0.817160048	-0.458140062	0.283849468	0.024732041	-0.251441883	-0.035564617	1.841229482	-0.429275702	-0.657682763	-0.139094469	-0.164873371	0.032602671	-0.510029325	-0.457654734	-0.048539358	-0.516494475	0.463164858	-0.806680571	0.558534787	-0.179151197	0.608723442	-0.608117147	1.726420316	-0.177207603	-0.496800904	-0.750446683	1.035539744	-0.807534442	-0.219424617	-0.973717454	0.117100775	0.827523059	-0.986144591	-1.392640204	-0.019892538	0.784324438	-0.300924997	-0.283980958	1.080640717	0.390112584	1.733749613	0.517118921	0.399132198	0.661056905	-0.002058951	0.084012822	-0.249578472	0.50021468	-0.173286051	1.07694036	-0.304977318	-0.156680718	1.081260093	0.000249687	-1.497968477	-0.238944947	0.383542277	-0.651389508	0.177920582	1.107823885	-0.121678096	-0.473717165	-0.150039848	1.107848731	-0.958664474	0.373219626	-0.468299061	-0.549823149	-1.039665669
ACSL3	0.010222319	0.387220033	0.12449608	0.591022467	1.699354937	-0.880617906	-0.237192143	0.802944567	0.09591753	0.19602168	-0.416645733	-0.474363207	0.582519751	-1.039495206	-0.590441038	-0.243938566	0.306707062	0.332090373	0.598262578	-0.502899453	-0.713301343	0.776675083	-0.571972869	-0.06725944	-0.978832104	1.271289791	1.000563129	-0.097730312	-0.054214863	-0.465388847	0.507199432	-0.664570004	-0.836043746	0.125684759	-0.309013368	-0.031930197	-0.320721663	0.110635061	-0.721544338	-0.018199504	0.839480199	0.488383618	0.056826775	0.444229417	-0.181047882	-0.306640102	-1.189015942	0.903851937	0.605167202	0.180088198	0.17046427	0.301491061	-0.005249815	-0.217262591	-0.027314008	-0.355558359	-0.172017232	0.255522831	0.450981309	-0.022183081	-0.345848853	0.075604052	-0.252164239	0.325250248	-0.947844797	-0.966634372	-0.462178084	0.171274037	0.096387448	1.028788501
AKAP9	0.006410094	-0.49450104	0.381482949	-0.823407522	-0.895203358	0.217081023	-0.833616831	-0.373966411	0.26211273	-0.635487494	-0.497981067	0.952550528	-0.53025358	0.258347895	0.668277212	-0.951369312	-0.125746719	0.546132696	-0.198240053	-0.10993777	0.812964998	0.940452595	0.371350973	-0.106243183	-0.11928502	-0.094499317	-0.604345473	-0.178575191	-0.451396446	-0.000539463	-1.53277031	0.083457197	0.252568582	-1.445315762	-0.306718513	1.009016304	0.192137715	-1.024597973	0.531178765	0.032046709	0.09906616	-0.816776673	0.775465625	0.98354836	0.834153641	-0.197930236	-1.375503896	0.884827301	1.421176242	0.633867065	-0.197946397	0.628884681	0.499404007	-0.167022491	-0.492966681	0.086331414	-1.430503403	-0.017460239	-0.23828665	-0.368163545	-0.33583875	0.089395365	0.45735422	0.338625004	0.390829903	0.663623282	-0.601069638	1.158412542	0.24479038	-0.754265612
AKT1	-0.407584436	-0.008188499	0.273168257	-0.340352744	0.682236548	-0.277156824	0.007932509	-0.615387371	0.081510985	-0.395617872	-0.792029711	0.419981965	-0.201879351	0.375592842	-0.303700372	-0.327969186	-0.321475732	0.205063643	-0.28924947	-0.056524141	0.441293618	0.215096421	0.205037456	-0.395007924	0.132008146	-0.092758815	0.023826731	-0.350202063	0.007402554	-0.703484311	0.332394472	0.117952838	0.162162467	-0.162492082	0.396359858	-0.228629493	-0.318009139	-0.245461728	0.204527033	-0.158584281	-0.332322135	0.071224266	-0.011565939	0.397657086	-0.415977075	-0.24867653	0.105055433	1.01063998	-0.691757543	-0.431010986	0.152363902	-0.08240577	-1.112753648	0.178472548	-0.084157823	1.010414485	0.537524132	-0.232127096	-0.823737736	0.051548597	-0.16221876	0.060469762	0.252087223	-0.145731963	-0.054302639	0.875985129	0.301409754	0.492183376	0.1161616	-0.212653397
AKT2	-0.994032702	-0.022928615	-0.127159889	-0.273545213	0.361307037	-0.004857071	0.278772894	-0.261155382	-0.446126556	-0.203015448	0.007974693	0.052610488	-0.380326969	0.62501614	0.049892463	-0.142018285	-0.520593584	-0.154046506	-0.193175958	-0.678892413	-0.424204091	0.701589279	0.411776097	-0.064752344	-0.068724416	-1.025057321	-0.390308438	0.632740484	-0.584170805	0.252604263	-0.132401882	-0.125994426	1.177997782	-0.325851298	0.054668222	-0.03161581	-0.781142202	0.526020752	0.745997969	0.079470321	0.518603445	-0.548773606	0.616164206	-0.993272794	-0.301048249	-0.111210642	-0.436531054	0.264801682	0.46822879	-0.211559837	0.527153613	-0.103204056	0.256348863	-0.075138412	0.275367287	-0.531474525	-0.295508382	-0.468170612	-0.771844957	-0.291027948	0.007715177	-0.331616256	-0.026807724	0.253089028	0.12192888	-0.096688626	0.046132917	-0.298937905	-0.371947803	0.074912712
AKT3	0.135174076	-1.260806949	-1.183669799	-0.157579388	-0.849476807	0.388063889	-0.913980674	0.239894687	-1.007681685	1.450301965	-0.320077937	0.346123477	-0.95623316	0.185179604	-2.508891626	-1.750102842	0.055692624	1.788335176	0.893428356	0.83846113	0.253093983	3.034265626	1.513705302	1.422484979	1.597797577	-1.620581378	-1.099276404	1.706144069	1.8484013	-0.729897572	-0.409047819	1.797535318	-1.279718098	-0.174339456	-2.059062553	2.271279123	2.485029324	-2.675307882	-1.072368585	0.099379448	-0.671106907	0.793237506	3.393414487	-0.365904136	-0.079166789	0.037911473	-1.434289118	-1.095685704	-0.414458445	-1.17240575	0.017916276	0.608755294	-0.015653001	1.873636157	1.670847071	-2.770136792	-0.465815106	-0.754940938	0.08763659	-3.447504303	0.59283037	-1.274037568	-1.992209103	1.046759187	1.667408984	-1.613895022	-0.211544642	0.18018201	-1.54410977	-2.019095715
ALDH2	0.545950883	-0.78438394	-2.79375354	0.182201799	-2.118755144	1.079061562	0.176588121	-1.642541568	0.820400706	1.401352963	3.299754764	-0.619915973	-1.70196718	0.408281416	0.063541893	-0.465049404	-0.600635945	-0.110896085	0.656964261	-1.150482032	-0.521464889	-0.765445157	-0.126222586	1.577261749	-2.798372093	0.269478165	-0.834122247	0.185207983	-2.099937252	-0.020917312	-2.908916947	1.333447081	0.688907737	0.366943138	-0.010347322	0.34693549	0.184963356	-2.305400906	2.322080816	1.233161028	-0.963907684	0.635447531	0.5371082	0.366893537	-0.363019825	-1.050774732	-1.430565946	1.547568338	2.539032013	-1.286824918	2.297436341	0.381069728	-1.160084482	1.934584857	-0.302422783	-0.343129692	0.890987757	2.495247515	-1.608898479	1.924699768	1.297881058	1.70161818	-4.087559389	2.684637149	1.085101328	-2.424184138	-0.847597723	0.267023953	-1.660921497	-1.698847161
ALK	0.322060173	0.242228404	0.415190456	2.875951463	-0.898930001	0.082962935	3.610652694	-0.874828381	-1.283647401	-0.061005401	-1.283647401	-0.043368572	-1.283647401	1.224501429	-1.283647401	-0.42985031	-1.283647401	0.297843064	0.130011032	0.975312996	-1.283647401	0.654268371	-0.325102731	0.380327479	1.233702703	-0.56120072	0.519288778	-1.283647401	-0.870189704	-0.560114055	-1.283647401	9.96524554	0.859756299	-0.340693417	-1.283647401	-0.267948088	0.71054706	-0.902403808	5.608212983	-1.283647401	0.205261463	-1.283647401	-1.283647401	3.136479231	-0.53790796	-0.524344497	-1.283647401	-0.445459373	-1.283647401	-1.283647401	2.104897252	1.269495053	0.288177706	-0.829358454	-1.283647401	-0.75605269	0.130062146	-0.522496211	-0.886977039	-1.283647401	-0.933930741	-0.93111008	-1.283647401	0.326546784	-0.543646988	-1.283647401	-0.754014955	-0.755291459	-0.889612429	0.87994069
APC	0.1086744	0.265256138	0.350795119	0.6314019	-0.65744139	0.315828322	0.334934394	0.377220205	0.966816564	-0.681535755	-0.760141977	0.630443781	-0.266147345	-0.661361688	0.053692517	-0.752311461	-0.197315264	0.237570109	-0.469739234	0.382391367	0.081476911	0.813925195	0.009847674	-0.064741668	-0.234325421	-0.003254361	0.092665703	-0.249450229	-0.106058725	-0.942344545	-0.392970537	-0.233426175	0.379372058	-1.229064187	-1.253731509	0.486176349	-0.142587288	-0.61806128	-0.210736328	0.02071653	-0.304930109	-0.15781981	1.001279684	1.58919908	0.262320101	0.242526104	-0.541458295	-0.390416678	-0.156587076	0.903362614	0.474542421	0.328894031	-0.147275415	0.693075557	-0.894811169	-1.133334092	-0.365577181	-0.08535493	0.434228978	-1.247049063	-0.256568619	0.786933478	0.169030052	0.883677693	1.000312496	-0.417122801	-0.162696137	-0.207089591	0.611612363	-0.420533207
