	TCGA-2A-A8VL	TCGA-2A-A8VO	TCGA-2A-A8VT	TCGA-2A-A8VV	TCGA-2A-A8VX	TCGA-2A-A8W1	TCGA-2A-A8W3	TCGA-2A-AAYF	TCGA-2A-AAYO	TCGA-2A-AAYU	TCGA-4L-AA1F	TCGA-CH-5737	TCGA-CH-5738	TCGA-CH-5739	TCGA-CH-5740	TCGA-CH-5741	TCGA-CH-5743	TCGA-CH-5744	TCGA-CH-5745	TCGA-CH-5746	TCGA-CH-5748	TCGA-CH-5750	TCGA-CH-5751	TCGA-CH-5752	TCGA-CH-5753	TCGA-CH-5754	TCGA-CH-5761	TCGA-CH-5762	TCGA-CH-5763	TCGA-CH-5764	TCGA-CH-5765	TCGA-CH-5766	TCGA-CH-5767	TCGA-CH-5768	TCGA-CH-5769	TCGA-CH-5771	TCGA-CH-5772	TCGA-CH-5788	TCGA-CH-5789	TCGA-CH-5790	TCGA-CH-5791	TCGA-CH-5792	TCGA-CH-5794	TCGA-EJ-5494	TCGA-EJ-5495	TCGA-EJ-5496	TCGA-EJ-5497	TCGA-EJ-5498	TCGA-EJ-5499	TCGA-EJ-5501	TCGA-EJ-5502	TCGA-EJ-5503	TCGA-EJ-5504	TCGA-EJ-5505	TCGA-EJ-5506	TCGA-EJ-5507	TCGA-EJ-5508	TCGA-EJ-5509	TCGA-EJ-5510	TCGA-EJ-5511	TCGA-EJ-5512	TCGA-EJ-5514	TCGA-EJ-5515	TCGA-EJ-5516	TCGA-EJ-5517	TCGA-EJ-5518	TCGA-EJ-5519	TCGA-EJ-5521	TCGA-EJ-5522	TCGA-EJ-5524	TCGA-EJ-5525	TCGA-EJ-5526	TCGA-EJ-5527	TCGA-EJ-5530	TCGA-EJ-5531	TCGA-EJ-5532	TCGA-EJ-5542	TCGA-EJ-7115	TCGA-EJ-7123	TCGA-EJ-7125	TCGA-EJ-7314	TCGA-EJ-7315	TCGA-EJ-7317	TCGA-EJ-7321	TCGA-EJ-7327	TCGA-EJ-7328	TCGA-EJ-7330	TCGA-EJ-7331	TCGA-EJ-7781	TCGA-EJ-7782	TCGA-EJ-7783	TCGA-EJ-7784	TCGA-EJ-7785	TCGA-EJ-7786	TCGA-EJ-7788	TCGA-EJ-7789	TCGA-EJ-7791	TCGA-EJ-7792	TCGA-EJ-7793	TCGA-EJ-7794
ARL17B	2.084	0.0223	2.1329	1.0278	1.7798	1.0649	1.0792	0.7613	2.1086	0.2216	-0.458	-0.4759	1.4945	0.6121	1.4009	1.6595	2.0762	1.4048	0.3979	2.118	1.5628	1.6914	2.1704	0.726	1.6914	1.7988	-0.6109	1.4189	0.8057	1.0298	0.5779	-0.6497	1.5133	2.0238	0.3855	1.4785	0.2407	1.776	1.1676	2.4603	-0.2126	1.0566	0.9672	1.3529	0.3914	1.5186	2.0005	1.7517	1.0389	1.1972	1.1271	0.6029	2.6312	1.1045	2.4931	2.2238	0.5491	1.0386	0.6958	0.8574	0.5682	0.3836	-0.4794	-1.9181	1.5823	1.2415	0.4388	0.8838	1.1643	0.5385	-0.1047	1.022	1.7378	2.0672	0.9243	-0.3434	0.3185	1.1855	0.6293	1.2708	-0.6622	0.2815	-0.5999	1.8261	1.3747	2.4427	2.2039	1.7798	1.4945	1.8855	0.6486	1.9135	-1.9181	1.3294	1.6354	2.2354	1.5926	-0.0766	-1.9181	1.2545
ARL4D	6.4979	6.8149	5.8206	5.7014	6.1862	3.1316	5.6831	5.8891	7.0316	6.4847	6.2324	5.5636	6.3406	5.5474	5.6079	5.3508	9.1243	7.7026	7.2544	6.612	5.5147	6.8904	8.4817	5.1458	11.5921	6.1012	5.0815	7.2729	7.1513	6.2494	6.1698	6.1004	5.5696	6.1019	6.8377	7.8842	5.797	4.828	7.5106	5.6989	6.2916	7.0651	5.9558	8.0001	6.8498	5.7395	6.3572	8.1127	6.9272	7.1081	7.3602	7.2484	5.7967	6.0282	7.1227	5.2125	6.3035	7.065	7.7021	6.1571	7.1717	5.4554	7.2372	6.3877	6.8596	6.1222	5.184	6.7097	5.8031	5.9852	4.8336	6.1494	6.6976	5.7298	6.8871	6.0497	5.6618	7.0603	5.9852	5.3948	7.131	6.0667	6.0914	5.928	6.1373	9.201	7.8098	6.5671	6.3971	4.8456	6.791	7.588	7.0961	6.1509	5.9758	4.9659	7.5193	7.2638	6.3899	7.0166
ARL9	1.746	1.8431	2.2254	2.6742	2.6578	3.1316	1.8221	2.8188	3.1135	1.2513	3.7287	1.611	2.0887	0.0834	2.3719	1.5012	3.5851	2.6496	5.6251	0.9567	2.3975	5.6401	0.8657	1.3341	4.115	-0.1234	0.9718	4.2424	3.3784	1.4384	-0.0523	-0.7136	0.8188	1.7216	2.5721	2.598	4.4335	-1.9181	-1.9181	4.0518	1.3472	2.5679	1.2796	1.7914	3.1199	3.2272	5.0273	1.268	1.4368	2.2884	2.9026	3.4843	4.0566	0.7598	0.9009	1.0996	4.1731	2.594	2.16	4.7399	2.2622	1.3857	2.9382	2.0346	1.8984	2.3207	1.5943	2.7323	2.4743	1.9832	0.6042	2.0998	2.5072	2.8287	1.9745	1.4254	2.6256	2.8712	1.2191	0.1276	1.1814	2.7275	3.1221	1.8702	1.7226	3.1933	2.1024	1.6025	0.9253	2.1437	2.0813	4.3488	1.9533	1.7934	2.9332	1.2553	2.9831	4.083	1.5969	1.9363
ARMC3	-0.3594	3.1546	-1.00E-04	6.9271	3.2983	4.6606	-1.9181	4.1772	6.3119	3.2592	0.6451	6.0008	1.9713	1.4056	2.3719	1.9475	-1.9181	3.4151	-1.9181	0.9567	4.0469	2.9246	3.0996	3.6822	4.5148	1.9066	4.3181	3.1972	1.5987	1.4384	2.4628	6.2905	3.3764	2.6625	1.3963	2.9402	1.7768	4.5894	3.242	4.0037	3.4715	2.9981	8.6253	4.8795	2.0547	0.7667	2.3064	0.4184	1.4368	2.0677	1.612	1.7452	3.6619	5.1106	0.2941	6.7459	-0.3724	5.2682	4.7779	1.1072	3.035	7.3185	2.8539	2.5362	1.7711	-0.4836	2.5296	4.9944	0.6669	2.1119	1.7669	-0.7377	2.8156	1.7111	3.3275	2.3525	4.4611	0.526	5.4461	-1.9181	-0.7406	7.1948	-0.6253	2.5299	2.0742	0.5616	4.9663	2.7512	2.3697	-1.9181	1.2636	2.619	2.5399	2.5745	0.9563	5.4309	3.2167	3.0777	0.8812	0.9137
ARMCX1	10.4447	9.0205	7.129	7.2595	6.3644	9.6123	7.5574	7.9401	7.6853	8.4382	8.705	6.6822	9.3868	7.6395	7.7492	6.4429	9.4828	9.2938	8.2699	9.4702	8.7793	9.6703	6.6129	10.1423	6.2014	9.5593	6.7019	9.5072	9.848	8.7559	7.2786	7.8003	6.2332	9.6027	9.5312	9.6341	6.8736	5.2937	9.7872	9.7368	6.4692	8.7612	6.8598	7.6869	8.6438	7.8937	8.6709	9.9723	8.2832	8.6133	8.9112	9.8651	7.7654	9.6379	9.7301	9.8388	8.7982	9.1105	8.0277	10.3108	9.9188	7.6062	10.1234	8.4277	10.2069	7.7298	6.9728	9.0336	9.8898	9.1831	7.086	8.8542	8.5479	7.5159	8.8029	7.3656	8.1861	8.0986	7.1828	6.9056	8.2468	7.2452	8.1174	8.9537	8.323	8.7437	8.9146	8.5152	9.4029	6.9228	8.6831	6.9069	9.7521	8.4714	7.3261	6.1092	9.0647	9.5788	9.934	9.0978
ARMCX2	10.0351	9.9267	9.1364	9.0285	10.0982	10.5901	8.2209	10.1016	9.924	9.9032	10.3878	11.0678	10.4431	10.3148	8.2194	11.1012	10.2315	9.8288	10.1508	10.2317	11.0648	10.5444	7.6109	10.1082	10.1339	9.0668	7.205	10.1542	10.3909	9.6216	8.2108	10.5345	10.154	10.7088	9.9006	10.2195	10.2377	10.2342	10.4516	8.221	9.6609	9.5774	9.5865	8.6289	9.4026	9.8384	10.39	10.0813	9.0113	10.8252	10.7521	10.2504	10.6776	10.2403	10.3378	10.2765	9.6276	10.3765	10.2457	10.7767	10.2555	8.2184	10.3106	9.1985	10.7666	10.0333	10.5613	10.4043	10.2225	10.4919	8.0439	10.1609	9.868	9.9924	9.531	9.5801	10.5131	10.4264	9.6607	7.5305	8.8664	8.0562	10.0279	9.6737	10.3001	10.1018	10.1623	10.0014	10.1075	10.5948	9.4253	8.0403	9.9214	10.319	10.2434	6.3757	10.7412	10.1704	10.5071	9.5058
ARMS2	-1.9181	-1.9181	-1.9181	-0.4438	-0.3801	-0.4407	-0.5703	-1.9181	-1.9181	-1.9181	-0.5193	-1.9181	-0.7442	-1.9181	-0.1867	-1.9181	0.7184	-0.0618	-0.5984	-1.9181	-1.9181	0.4772	-1.9181	-0.7686	0.2472	-1.0517	-0.0842	-0.5378	-0.4634	-1.9181	-0.7025	-1.9181	0.0203	-0.7331	-0.4381	-1.9181	-1.9181	-0.0202	-1.9181	-1.9181	-1.9181	0.0526	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	0.9048	-1.9181	-0.0624	-0.454	-1.9181	-1.9181	-0.6857	-0.1431	0.0228	-1.9181	-1.0637	-0.7661	-0.4403	-1.9181	-0.7367	-1.9181	-1.9181	-0.1612	-1.0294	-0.2941	0.1823	-1.9181	-0.6586	-1.9181	-0.7377	-1.9181	-1.9181	-1.9181	-0.8178	-1.9181	-0.6074	-0.838	-1.9181	-0.101	-1.9181	-1.9181	-0.5385	-0.8155	-0.5812	1.0871	0.5817	-0.1228	-0.2208	-0.1926	-1.9181	-1.9181	-1.9181	-0.7377	-1.9181	-1.011	-0.1222	-1.9181	-1.9181
ARNTL2	1.5055	0.6725	2.4361	1.6269	2.2628	2.1745	3.5502	2.1728	3.9018	2.0262	6.4046	2.8951	5.6186	3.6074	3.1473	2.9933	6.9239	3.0627	3.3451	3.9083	2.6095	3.7257	4.4977	3.9159	3.3799	4.8586	4.1351	5.0411	5.0432	3.3287	2.1581	3.1529	1.3297	2.941	4.6373	4.7494	1.7768	1.9531	3.9908	3.7933	4.5273	5.2426	4.4928	3.9117	5.5922	2.3374	4.3106	5.1552	5.6079	4.2462	5.4366	3.6572	4.2025	4.0612	4.1613	5.9773	5.0342	4.8105	4.3215	3.594	4.3287	5.1218	2.6687	4.8045	3.3256	4.0233	3.2677	3.735	4.4743	4.5995	4.391	4.6668	4.7308	3.1286	5.0196	3.7311	4.4406	3.9942	2.9324	3.3504	3.4527	4.7778	1.3601	3.8333	4.5256	5.6063	3.8908	5.3107	4.5123	5.0272	5.0804	3.3456	5.4542	3.303	4.1987	4.3674	4.9997	4.3836	1.7737	5.5908
ARPP21	-0.3594	4.3365	-0.6615	1.1025	-0.3801	-1.9181	0.1142	-1.9181	-0.3419	1.2513	-0.5193	0.5463	1.8435	2.3317	2.1898	-1.9181	0.7184	-1.0122	1.6021	2.1001	-0.553	2.074	2.3038	-1.9181	1.0767	0.1837	-1.9181	0.6202	3.3784	1.4384	-0.0523	0.7184	1.8631	0.3513	2.4524	2.9402	-1.9181	3.0358	-1.9181	-1.9181	0.49	2.4369	-0.8019	-1.9181	4.1514	2.8969	3.5022	3.5259	-0.7049	1.3645	5.8745	2.9756	1.928	1.2675	-0.1431	1.0996	1.4875	0.8166	3.3634	3.0107	0.974	2.802	-1.9181	2.1773	-0.1612	5.9646	1.8361	2.4555	1.4039	0.7993	2.22	1.8544	3.2448	2.6516	0.1098	-1.9181	2.3892	1.1528	0.2003	-1.9181	1.5537	4.2297	-1.9181	0.6195	2.3567	1.628	2.4684	1.079	1.8211	4.1515	2.0813	2.2005	2.0532	4.3605	3.6628	1.872	0.5084	5.1402	1.5969	1.8087
ARRDC5	0.3724	1.1754	-1.00E-04	-0.4438	-0.3801	0.2738	1.2074	0.1551	0.878	-1.9181	2.8468	0.0864	1.1757	-0.5949	0.5777	-1.9181	1.8939	0.7239	-0.5984	0.3452	1.4682	1.6243	3.0095	0.6361	1.0767	0.8393	-0.7276	-0.5378	0.246	-1.9181	-1.9181	0.7184	0.474	-0.7331	0.7528	1.6058	-1.9181	-1.9181	-1.9181	-0.3065	0.9813	0.0526	0.253	1.178	-0.1313	-0.4276	0.6242	-1.9181	-0.7049	0.7232	-0.454	0.9466	-1.9181	-0.6857	0.6292	0.4767	1.1992	1.8819	0.3044	1.1072	-0.2667	1.1875	-1.9181	-0.5345	-0.7871	-0.4836	-0.8887	0.1823	1.082	1.0766	-1.9181	-0.0971	-0.3101	-0.8938	0.1098	-1.9181	-1.9181	1.3869	-0.2275	0.5912	-0.7406	2.0078	-0.6253	1.6924	-0.1979	2.105	0.5893	1.079	-0.1228	1.2276	0.8404	0.5871	0.1338	1.2625	0.3448	0.9728	-0.4584	-0.1222	0.8812	0.6415
